SUPPLIER_AID;STOCK
B0001;100000
B0001/010;100000
B0001/025;100000
B0001/050;100000
B0001/100;100000
B0001/250;100000
B0001/500;100000
B0002;100000
B0002/010;100000
B0002/025;100000
B0002/050;100000
B0002/100;100000
B0002/250;100000
B0002/500;100000
B0004;100000
B0004/010;100000
B0004/025;100000
B0004/050;100000
B0004/100;100000
B0004/250;100000
B0004/500;100000
B0007;100000
B0007/010;100000
B0007/025;100000
B0007/050;100000
B0007/100;100000
B0007/250;100000
B0007/500;100000
B0020;100000
B0020/010;100000
B0020/025;100000
B0020/050;100000
B0020/100;100000
B0020/250;100000
B0020/500;100000
B0021;100000
B0021/010;100000
B0021/025;100000
B0021/050;100000
B0021/100;100000
B0021/250;100000
B0021/500;100000
B0025;100000
B0025/010;100000
B0025/025;100000
B0025/050;100000
B0025/100;100000
B0025/250;100000
B0025/500;100000
B0028;100000
B0028/010;100000
B0028/025;100000
B0028/050;100000
B0028/100;100000
B0028/250;100000
B0028/500;100000
B0029;100000
B0029/010;100000
B0029/025;100000
B0029/050;100000
B0029/100;100000
B0029/250;100000
B0029/500;100000
B1023;100000
B1023/010;100000
B1023/025;100000
B1023/050;100000
B1023/100;100000
B1023/250;100000
B1023/500;100000
F0005;100000
F0005/010;100000
F0005/025;100000
F0005/050;100000
F0005/100;100000
F0005/250;100000
F0005/500;100000
F0007;100000
F0007/010;100000
F0007/025;100000
F0007/050;100000
F0007/100;100000
F0007/250;100000
F0007/500;100000
F0011;100000
F0011/010;100000
F0011/025;100000
F0011/050;100000
F0011/100;100000
F0011/250;100000
F0011/500;100000
F0012;100000
F0012/010;100000
F0012/025;100000
F0012/050;100000
F0012/100;100000
F0012/250;100000
F0012/500;100000
F0020;100000
F0020/010;100000
F0020/025;100000
F0020/050;100000
F0020/100;100000
F0020/250;100000
F0020/500;100000
F1015;100000
F1015/010;100000
F1015/025;100000
F1015/050;100000
F1015/100;100000
F1015/250;100000
F1015/500;100000
K0005;100000
K0005/010;100000
K0005/025;100000
K0005/050;100000
K0005/100;100000
K0005/250;100000
K0005/500;100000
K0006;100000
K0006/010;100000
K0006/025;100000
K0006/050;100000
K0006/100;100000
K0006/250;100000
K0006/500;100000
K0008;100000
K0008/010;100000
K0008/025;100000
K0008/050;100000
K0008/100;100000
K0008/250;100000
K0008/500;100000
K0037;100000
K0037/010;100000
K0037/025;100000
K0037/050;100000
K0037/100;100000
K0037/250;100000
K0037/500;100000
K0041;100000
K0041/010;100000
K0041/025;100000
K0041/050;100000
K0041/100;100000
K0041/250;100000
K0041/500;100000
K0042;100000
K0042/010;100000
K0042/025;100000
K0042/050;100000
K0042/100;100000
K0042/250;100000
K0042/500;100000
K0083;100000
K0083/010;100000
K0083/025;100000
K0083/050;100000
K0083/100;100000
K0083/250;100000
K0083/500;100000
K0084;100000
K0084/010;100000
K0084/025;100000
K0084/050;100000
K0084/100;100000
K0084/250;100000
K0084/500;100000
K0085;100000
K0085/010;100000
K0085/025;100000
K0085/050;100000
K0085/100;100000
K0085/250;100000
K0085/500;100000
K0086;100000
K0086/010;100000
K0086/025;100000
K0086/050;100000
K0086/100;100000
