fname,fvalue
# FNAME-Werte die nicht exportiert werden sollen (Feature wird komplett entfernt).
# Spalten: fname (Pflicht, Wildcards * und ? erlaubt), fvalue (optional).
# Ist fvalue leer: Feature wird immer entfernt, unabhängig vom Wert.
# Ist fvalue gesetzt: Feature wird nur entfernt wenn FVALUE genau diesem Wert
# entspricht (z.B. 'Be Green' nur ausblenden wenn Wert = CAA017/Nein).
# Gross-/Kleinschreibung wird ignoriert. Zeilen mit # werden ignoriert.
Anreißer (Online),
Aufzählung (Online),
Kurzbeschreibung,
Kurzbeschreibung (Online),
Langbeschreibung,
Langbescheibung (Online),
Zolltarifnummer,
Zolltarifnummer (TARIC),
Be Green,CAA017
