fname,udx_key
# Mappt Feature-FNAME → UDX-Schlüsselname im Export
# Automatisch erkannte Felder aus Nordwest-Katalogen:
Liefnr,LIEFNR
Bezugsquelle,BEZUGSQUELLE
Versandkennzeichen,VERSANDKENNZEICHEN
Länge,LAENGE
Breite,BREITE
Höhe,HOEHE
Maßeinheit,MASSEINHEIT
GEWICHT,GEWICHT
LIEFERBARHINWEIS,LIEFERBARHINWEIS
GEWICHTSEINHEIT,GEWICHTSEINHEIT
PRODUKTBEZEICHNUNG,PRODUKTBEZEICHNUNG
NORM_TYP_MODELL,NORM_TYP_MODELL
HAUPTMERKMALE,HAUPTMERKMALE
Ausführung,AUSFUEHRUNG
ZUSATZINFO,ZUSATZINFO
MARKENBEZEICHNUNG,MARKENBEZEICHNUNG
GARANTIEDAUER,GARANTIEDAUER
MINDERMENGENZUSCHLAG,MINDERMENGENZUSCHLAG
GPSRHERSTELLEREMAIL,GPSRHERSTELLEREMAIL
GPSRHERSTELLERID,GPSRHERSTELLERID
GPSRHERSTELLERLAND,GPSRHERSTELLERLAND
GPSRHERSTELLERLANDISO2STELLIG,GPSRHERSTELLERLANDISO2STELLIG
GPSRHERSTELLERNAME1,GPSRHERSTELLERNAME1
GPSRHERSTELLERORT,GPSRHERSTELLERORT
GPSRHERSTELLERPOSTLEITZAHL,GPSRHERSTELLERPOSTLEITZAHL
GPSRHERSTELLERSTRAE,GPSRHERSTELLERSTRAE
GPSRHERSTELLERTELEFON,GPSRHERSTELLERTELEFON
GPSRHERSTELLERUSTID,GPSRHERSTELLERUSTID
GPSRHERSTELLERWEBSEITE,GPSRHERSTELLERWEBSEITE
